id,category,text,filename
dialogue-facility-soft-futon-01,facility-soft-futon,"ふかふかのおふとんこそ、文明がたどり着いた答えですわ。",voice/dialogue-facility-soft-futon-01.mp3
dialogue-facility-soft-futon-02,facility-soft-futon,"あと五分だけ……という祈りは、世界共通ですのね。",voice/dialogue-facility-soft-futon-02.mp3
dialogue-facility-chiruko-doll-01,facility-chiruko-doll,"人形のわたくしも、ちゃんとおでこが見えておりますわね。",voice/dialogue-facility-chiruko-doll-01.mp3
dialogue-facility-chiruko-doll-02,facility-chiruko-doll,"ちる子ちゃん人形は、本人監修ということになっております。",voice/dialogue-facility-chiruko-doll-02.mp3
dialogue-facility-desktop-accessory-01,facility-desktop-accessory,"PCのすみは落ち着きますわ。邪魔にならない程度に働きます。",voice/dialogue-facility-desktop-accessory-01.mp3
dialogue-facility-desktop-accessory-02,facility-desktop-accessory,"閉じないでいただければ、こつこつ満たしておきますわ。",voice/dialogue-facility-desktop-accessory-02.mp3
dialogue-facility-sora-2-01,facility-sora-2,"この布教活動、映像と音声で記録しておきましょう。",voice/dialogue-facility-sora-2-01.mp3
dialogue-facility-sora-2-02,facility-sora-2,"想像した景色が動き出すなんて、よい時代ですわね。",voice/dialogue-facility-sora-2-02.mp3
dialogue-facility-believer-01,facility-believer,"信者が増えましたわ。教義は……追って決めましょう。",voice/dialogue-facility-believer-01.mp3
dialogue-facility-believer-02,facility-believer,"入信は自由、退会も自由。満足だけ持ち帰ってくださいませ。",voice/dialogue-facility-believer-02.mp3
dialogue-facility-altar-01,facility-altar,"荘厳さと効率。どちらも譲れませんの。",voice/dialogue-facility-altar-01.mp3
dialogue-facility-altar-02,facility-altar,"祭壇のお手入れは、柔らかい布でお願いいたします。",voice/dialogue-facility-altar-02.mp3
dialogue-facility-giant-statue-01,facility-giant-statue,"よくここまで満たしましたわね。見上げてもよろしくてよ。",voice/dialogue-facility-giant-statue-01.mp3
dialogue-facility-giant-statue-02,facility-giant-statue,"像のほうが本人より立派、というご意見は受け付けておりません。",voice/dialogue-facility-giant-statue-02.mp3
dialogue-facility-ramen-sanctum-01,facility-ramen-sanctum,"深夜の一杯には、抗いがたい救済がありますの。",voice/dialogue-facility-ramen-sanctum-01.mp3
dialogue-facility-ramen-sanctum-02,facility-ramen-sanctum,"替え玉は御利益に含まれます。たぶん。",voice/dialogue-facility-ramen-sanctum-02.mp3
dialogue-facility-cult-broadcast-01,facility-cult-broadcast,"本日の放送も、内容より雰囲気を重視しております。",voice/dialogue-facility-cult-broadcast-01.mp3
dialogue-facility-cult-broadcast-02,facility-cult-broadcast,"こちら満足放送局。受信状態はいかがでしょうか。",voice/dialogue-facility-cult-broadcast-02.mp3
dialogue-facility-neo-cathedral-01,facility-neo-cathedral,"仮設支部がずいぶん立派になりましたこと。",voice/dialogue-facility-neo-cathedral-01.mp3
dialogue-facility-neo-cathedral-02,facility-neo-cathedral,"大聖堂でも、やることはいつも通りのひとさわりですわ。",voice/dialogue-facility-neo-cathedral-02.mp3
dialogue-facility-dimension-gate-01,facility-dimension-gate,"向こう側の世界にも、おすそ分けいたしましょう。",voice/dialogue-facility-dimension-gate-01.mp3
dialogue-facility-dimension-gate-02,facility-dimension-gate,"次元を越えてまで布教するとは、ずいぶん遠くへ来ましたわね。",voice/dialogue-facility-dimension-gate-02.mp3
dialogue-facility-cosmic-chiruko-01,facility-cosmic-chiruko,"銀河にも満足を。教義は到着までに考えますわ。",voice/dialogue-facility-cosmic-chiruko-01.mp3
dialogue-facility-cosmic-chiruko-02,facility-cosmic-chiruko,"宇宙船の窓から見る満足も、なかなか壮観ですの。",voice/dialogue-facility-cosmic-chiruko-02.mp3
dialogue-facility-sora-3-01,facility-sora-3,"架空の進化も、信じればだいたい満足ですわ。",voice/dialogue-facility-sora-3-01.mp3
dialogue-facility-sora-3-02,facility-sora-3,"Sora3が描く未来では、満足が光速を越えるそうですの。",voice/dialogue-facility-sora-3-02.mp3
dialogue-facility-satisfaction-observatory-01,facility-satisfaction-observatory,"天文台から見る満足の星は、ひとつひとつ違う色に見えるそうですわ。",voice/dialogue-facility-satisfaction-observatory-01.mp3
dialogue-facility-satisfaction-observatory-02,facility-satisfaction-observatory,"遠くを観測するほど、次に届けたい満足が見つかりますの。",voice/dialogue-facility-satisfaction-observatory-02.mp3
dialogue-facility-galaxy-mission-fleet-01,facility-galaxy-mission-fleet,"艦隊が銀河の向こうまで、満足の便りを運んでいますわ。",voice/dialogue-facility-galaxy-mission-fleet-01.mp3
dialogue-facility-galaxy-mission-fleet-02,facility-galaxy-mission-fleet,"船団の航路が増えるほど、宇宙は少しずつ優しくなりますの。",voice/dialogue-facility-galaxy-mission-fleet-02.mp3
dialogue-facility-satisfaction-simulator-01,facility-satisfaction-simulator,"宇宙を丸ごとシミュレートして、満足の増え方を予習中ですわ。",voice/dialogue-facility-satisfaction-simulator-01.mp3
dialogue-facility-satisfaction-simulator-02,facility-satisfaction-simulator,"計算結果はいつも、予想より少しだけ満足寄りですの。",voice/dialogue-facility-satisfaction-simulator-02.mp3
dialogue-facility-sora-4-01,facility-sora-4,"赤い雲が怒っているように見えても、夢を出力する準備中ですわ。",voice/dialogue-facility-sora-4-01.mp3
dialogue-facility-sora-4-02,facility-sora-4,"Sora4の夢想圏から、まだ名前のない満足が届きましたの。",voice/dialogue-facility-sora-4-02.mp3
dialogue-condition-clicks-20,condition-clicks,"熱心ですこと。おでこは丁重にお願いいたしますわ。",voice/dialogue-condition-clicks-20.mp3
dialogue-condition-clicks-100,condition-clicks,"百回も？ その情熱、もはやひとつの教義ですわね。",voice/dialogue-condition-clicks-100.mp3
dialogue-condition-clicks-1000,condition-clicks,"千のひとさわり……おでこが功徳で輝きそうですわ。",voice/dialogue-condition-clicks-1000.mp3
dialogue-condition-production-1,condition-production,"何もしない時間にも、満足は育ちますの。",voice/dialogue-condition-production-1.mp3
dialogue-condition-production-1000,condition-production,"もう手動より設備の皆さまのほうが働いておりますわね。",voice/dialogue-condition-production-1000.mp3
dialogue-condition-production-1000000,condition-production,"一秒ごとの満足が、ちょっとした災害の規模ですわ。",voice/dialogue-condition-production-1000000.mp3
dialogue-condition-total-1b,condition-total,"ここまで来ると、数字というより景色ですわね。",voice/dialogue-condition-total-1b.mp3
dialogue-condition-buff-single,condition-buff,"{buffName}が来ております。今のうちですわ！",voice/dialogue-condition-buff-single.mp3
dialogue-condition-buff-combo-01,condition-buff,"奇跡が重なっております！ 理屈はあとで考えましょう！",voice/dialogue-condition-buff-combo-01.mp3
dialogue-condition-buff-combo-02,condition-buff,"コンボ中ですわ。いまは数字だけをご覧なさいませ！",voice/dialogue-condition-buff-combo-02.mp3
dialogue-skin-sleep,skin,"眠っているように見えて、自動生産は働いておりますの。",voice/dialogue-skin-sleep.mp3
dialogue-skin-read,skin,"教典を読んでおります。まだ白紙のページが多いですわ。",voice/dialogue-skin-read.mp3
dialogue-skin-run,skin,"走っておりますけれど、目的地は特に決めておりません。",voice/dialogue-skin-run.mp3
event-purchase,event,"お迎え、ありがとうございますわ。",voice/event-purchase.mp3
event-upgrade,event,"御利益を授けましょう。",voice/event-upgrade.mp3
event-doctrine,event,"この教義は、次の世界にも残りますわ。",voice/event-doctrine.mp3
event-prestige,event,"もう一度、世界を満たしましょう。",voice/event-prestige.mp3
